Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
Allemagne,Altenbamberg,Altenbamberg,ALTENBAMBERG,0
Allemagne,Altenbeken,Altenbeken,ALTENBEKEN,0
Allemagne,Altenberg,Altenberg,ALTENBERG,0
Allemagne,Altenberga,Altenberga,ALTENBERGA,0
Allemagne,Altenberge,Altenberge,ALTENBERGE,0
Allemagne,Altenbeuthen,Altenbeuthen,ALTENBEUTHEN,0
Allemagne,Altenbuch,Altenbuch,ALTENBUCH,0
Allemagne,Altenburg,Altenburg,ALTENBURG,0
Allemagne,Altendiez,Altendiez,ALTENDIEZ,0
Allemagne,Altendorf,Altendorf,ALTENDORF,0
Allemagne,Altendorf,Altendorf,ALTENDORF,0
Allemagne,Altenfeld,Altenfeld,ALTENFELD,0
Allemagne,Altenglan,Altenglan,ALTENGLAN,0
Allemagne,Altengottern,Altengottern,ALTENGOTTERN,0
Allemagne,Altenhagen,Altenhagen,ALTENHAGEN,0
Allemagne,Altenhausen,Altenhausen,ALTENHAUSEN,0
Allemagne,Altenhof,Altenhof,ALTENHOF,0
Allemagne,Altenhof,Altenhof,ALTENHOF,0
Allemagne,Altenholz,Altenholz,ALTENHOLZ,0
Allemagne,Altenkirchen,Altenkirchen,ALTENKIRCHEN,0
Allemagne,Altenkirchen,Altenkirchen,ALTENKIRCHEN,0
Allemagne,Altenkirchen (Westerwald),Altenkirchen (Westerwald),ALTENKIRCHEN (WESTERWALD),0
Allemagne,Altenkrempe,Altenkrempe,ALTENKREMPE,0
Allemagne,Altenkunstadt,Altenkunstadt,ALTENKUNSTADT,0
Allemagne,Altenmarkt a.d.Alz,Altenmarkt a.d.Alz,ALTENMARKT A.D.ALZ,0
Allemagne,Altenmedingen,Altenmedingen,ALTENMEDINGEN,0
Allemagne,Altenmoor,Altenmoor,ALTENMOOR,0
Allemagne,Altenmünster,Altenmunster,ALTENMÜNSTER,0
Allemagne,Altenpleen,Altenpleen,ALTENPLEEN,0
Allemagne,Altenriet,Altenriet,ALTENRIET,0
Allemagne,Altenstadt,Altenstadt,ALTENSTADT,0
Allemagne,Altenstadt,Altenstadt,ALTENSTADT,0
Allemagne,Altenstadt a.d.Waldnaab,Altenstadt a.d.Waldnaab,ALTENSTADT A.D.WALDNAAB,0
Allemagne,Altenstadt,Altenstadt,ALTENSTADT,0
Allemagne,Altensteig,Altensteig,ALTENSTEIG,0
Allemagne,Altenthann,Altenthann,ALTENTHANN,0
Allemagne,Altentreptow,Altentreptow,ALTENTREPTOW,0
Allemagne,Alterkülz,Alterkulz,ALTERKÜLZ,0
Allemagne,Altersbach,Altersbach,ALTERSBACH,0
Allemagne,Altertheim,Altertheim,ALTERTHEIM,0
Allemagne,Altfraunhofen,Altfraunhofen,ALTFRAUNHOFEN,0
Allemagne,Althegnenberg,Althegnenberg,ALTHEGNENBERG,0
Allemagne,Altheim,Altheim,ALTHEIM,0
Allemagne,Altheim,Altheim,ALTHEIM,0
Allemagne,Altheim (Alb),Altheim (Alb),ALTHEIM (ALB),0
Allemagne,Althengstett,Althengstett,ALTHENGSTETT,0
Allemagne,Althornbach,Althornbach,ALTHORNBACH,0
Allemagne,Althütte,Althutte,ALTHÜTTE,0
Allemagne,Althüttendorf,Althuttendorf,ALTHÜTTENDORF,0
Allemagne,Altkalen,Altkalen,ALTKALEN,0
Allemagne,Altkirchen,Altkirchen,ALTKIRCHEN,0
Allemagne,Altlandsberg,Altlandsberg,ALTLANDSBERG,0
Allemagne,Altlay,Altlay,ALTLAY,0
Allemagne,Altleiningen,Altleiningen,ALTLEININGEN,0
Allemagne,Altlußheim,Altlußheim,ALTLUSSHEIM,0
Allemagne,Altmannstein,Altmannstein,ALTMANNSTEIN,0
Allemagne,Altmärkische Höhe,Altmarkische Hohe,ALTMÄRKISCHE HÖHE,0
Allemagne,Altmärkische Wische,Altmarkische Wische,ALTMÄRKISCHE WISCHE,0
Allemagne,Altmittweida,Altmittweida,ALTMITTWEIDA,0
Allemagne,Altomünster,Altomunster,ALTOMÜNSTER,0
Allemagne,Altötting,Altotting,ALTÖTTING,0
Allemagne,Altrich,Altrich,ALTRICH,0
Allemagne,Altrip,Altrip,ALTRIP,0
Allemagne,Altscheid,Altscheid,ALTSCHEID,0
Allemagne,Altshausen,Altshausen,ALTSHAUSEN,0
Allemagne,Altstadt,Altstadt,ALTSTADT,0
Allemagne,Altstrimmig,Altstrimmig,ALTSTRIMMIG,0
Allemagne,Altusried,Altusried,ALTUSRIED,0
Allemagne,Altwarp,Altwarp,ALTWARP,0
Allemagne,Altweidelbach,Altweidelbach,ALTWEIDELBACH,0
